Setup sorting test array at 0x300: [42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
Loaded ROM: 3584 bytes
First instruction: 0x4C08
Cycle 131: Executing 0x0000 at PC=0x1AC
Cycle 132: Executing 0x0000 at PC=0x1AE
Cycle 133: Executing 0x0000 at PC=0x1B0
Cycle 134: Executing 0x0000 at PC=0x1B2
Cycle 135: Executing 0x0000 at PC=0x1B4
Cycle 136: Executing 0x0000 at PC=0x1B6
Cycle 137: Executing 0x0000 at PC=0x1B8
Cycle 138: Executing 0x0000 at PC=0x1BA
Cycle 139: Executing 0x0000 at PC=0x1BC
Cycle 140: Executing 0x0000 at PC=0x1BE
Cycle 141: Executing 0x0000 at PC=0x1C0
Cycle 142: Executing 0x0000 at PC=0x1C2
Cycle 143: Executing 0x0000 at PC=0x1C4
Cycle 144: Executing 0x0000 at PC=0x1C6
Cycle 145: Executing 0x0000 at PC=0x1C8
Cycle 146: Executing 0x0000 at PC=0x1CA
Cycle 147: Executing 0x0000 at PC=0x1CC
Cycle 148: Executing 0x0000 at PC=0x1CE
Cycle 149: Executing 0x0000 at PC=0x1D0
Cycle 150: Executing 0x0000 at PC=0x1D2
Cycle 151: Executing 0x0000 at PC=0x1D4
Cycle 152: Executing 0x0000 at PC=0x1D6
Cycle 153: Executing 0x0000 at PC=0x1D8
Cycle 154: Executing 0x0000 at PC=0x1DA
Cycle 155: Executing 0x0000 at PC=0x1DC
Cycle 156: Executing 0x0000 at PC=0x1DE
Cycle 157: Executing 0x0000 at PC=0x1E0
Cycle 158: Executing 0x0000 at PC=0x1E2
Cycle 159: Executing 0x0000 at PC=0x1E4
Cycle 160: Executing 0x0000 at PC=0x1E6
Cycle 161: Executing 0x0000 at PC=0x1E8
Cycle 162: Executing 0x0000 at PC=0x1EA
Cycle 163: Executing 0x0000 at PC=0x1EC
Cycle 164: Executing 0x0000 at PC=0x1EE
Cycle 165: Executing 0x0000 at PC=0x1F0
Cycle 166: Executing 0x0000 at PC=0x1F2
Cycle 167: Executing 0x0000 at PC=0x1F4
Cycle 168: Executing 0x0000 at PC=0x1F6
Cycle 169: Executing 0x0000 at PC=0x1F8
Cycle 170: Executing 0x0000 at PC=0x1FA
Cycle 171: Executing 0x0000 at PC=0x1FC
Cycle 172: Executing 0x0000 at PC=0x1FE
Cycle 175: Executing 0x0000 at PC=0x167
Cycle 176: Executing 0x0000 at PC=0x169
Cycle 177: Executing 0x0000 at PC=0x16B
Cycle 178: Executing 0x0000 at PC=0x16D
Cycle 179: Executing 0x0000 at PC=0x16F
Cycle 180: Executing 0x0000 at PC=0x171
Cycle 181: Executing 0x0000 at PC=0x173
Cycle 182: Executing 0x0000 at PC=0x175
Cycle 183: Executing 0x0000 at PC=0x177
Cycle 184: Executing 0x0000 at PC=0x179
Cycle 185: Executing 0x0000 at PC=0x17B
Cycle 186: Executing 0x0000 at PC=0x17D
