Setup sorting test array at 0x300: [ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 125: Executing 0x0000 at PC=0x1E9
Cycle 126: Executing 0x0000 at PC=0x1EB
Cycle 127: Executing 0x0000 at PC=0x1ED
Cycle 128: Executing 0x0000 at PC=0x1EF
Cycle 129: Executing 0x0000 at PC=0x1F1
Cycle 130: Executing 0x0000 at PC=0x1F3
Cycle 131: Executing 0x0000 at PC=0x1F5
Cycle 132: Executing 0x0000 at PC=0x1F7
Cycle 133: Executing 0x0000 at PC=0x1F9
Cycle 134: Executing 0x0000 at PC=0x1FB
Cycle 135: Executing 0x0000 at PC=0x1FD
Cycle 138: Executing 0x0000 at PC=0x1AF
Cycle 139: Executing 0x0000 at PC=0x1B1
Cycle 140: Executing 0x0000 at PC=0x1B3
Cycle 141: Executing 0x0000 at PC=0x1B5
Cycle 142: Executing 0x0000 at PC=0x1B7
Cycle 143: Executing 0x0000 at PC=0x1B9
Cycle 144: Executing 0x0000 at PC=0x1BB
Cycle 145: Executing 0x0000 at PC=0x1BD
Cycle 146: Executing 0x0000 at PC=0x1BF
Cycle 147: Executing 0x0000 at PC=0x1C1
Cycle 148: Executing 0x0000 at PC=0x1C3
Cycle 149: Executing 0x0000 at PC=0x1C5
Cycle 150: Executing 0x0000 at PC=0x1C7
Cycle 151: Executing 0x0000 at PC=0x1C9
Cycle 152: Executing 0x0000 at PC=0x1CB
Cycle 153: Executing 0x0000 at PC=0x1CD
Cycle 154: Executing 0x0000 at PC=0x1CF
Cycle 155: Executing 0x0000 at PC=0x1D1
Cycle 156: Executing 0x0000 at PC=0x1D3
Cycle 157: Executing 0x0000 at PC=0x1D5
Cycle 158: Executing 0x0000 at PC=0x1D7
Cycle 159: Executing 0x0000 at PC=0x1D9
Cycle 160: Executing 0x0000 at PC=0x1DB
Cycle 161: Executing 0x0000 at PC=0x1DD
Cycle 162: Executing 0x0000 at PC=0x1DF
Cycle 163: Executing 0x0000 at PC=0x1E1
Cycle 164: Executing 0x0000 at PC=0x1E3
Cycle 165: Executing 0x0000 at PC=0x1E5
Cycle 166: Executing 0x0000 at PC=0x1E7
Cycle 167: Executing 0x0000 at PC=0x1E9
Cycle 168: Executing 0x0000 at PC=0x1EB
Cycle 169: Executing 0x0000 at PC=0x1ED
Cycle 170: Executing 0x0000 at PC=0x1EF
Cycle 171: Executing 0x0000 at PC=0x1F1
