Setup sorting test array at 0x300: [15  3 11  7  1  9 13  5  2 14  6 12  4 10  8  0]
Loaded ROM: 3584 bytes
First instruction: 0xA820
Cycle 137: Executing 0x0000 at PC=0x1B4
Cycle 138: Executing 0x0000 at PC=0x1B6
Cycle 139: Executing 0x0000 at PC=0x1B8
Cycle 140: Executing 0x0000 at PC=0x1BA
Cycle 141: Executing 0x0000 at PC=0x1BC
Cycle 142: Executing 0x0000 at PC=0x1BE
Cycle 143: Executing 0x0000 at PC=0x1C0
Cycle 144: Executing 0x0000 at PC=0x1C2
Cycle 145: Executing 0x0000 at PC=0x1C4
Cycle 146: Executing 0x0000 at PC=0x1C6
Cycle 147: Executing 0x0000 at PC=0x1C8
Cycle 148: Executing 0x0000 at PC=0x1CA
Cycle 149: Executing 0x0000 at PC=0x1CC
Cycle 150: Executing 0x0000 at PC=0x1CE
Cycle 151: Executing 0x0000 at PC=0x1D0
Cycle 152: Executing 0x0000 at PC=0x1D2
Cycle 153: Executing 0x0000 at PC=0x1D4
Cycle 154: Executing 0x0000 at PC=0x1D6
Cycle 155: Executing 0x0000 at PC=0x1D8
Cycle 156: Executing 0x0000 at PC=0x1DA
Cycle 157: Executing 0x0000 at PC=0x1DC
Cycle 158: Executing 0x0000 at PC=0x1DE
Cycle 159: Executing 0x0000 at PC=0x1E0
Cycle 160: Executing 0x0000 at PC=0x1E2
Cycle 161: Executing 0x0000 at PC=0x1E4
Cycle 162: Executing 0x0000 at PC=0x1E6
Cycle 163: Executing 0x0000 at PC=0x1E8
Cycle 164: Executing 0x0000 at PC=0x1EA
Cycle 165: Executing 0x0000 at PC=0x1EC
Cycle 166: Executing 0x0000 at PC=0x1EE
Cycle 167: Executing 0x0000 at PC=0x1F0
Cycle 168: Executing 0x0000 at PC=0x1F2
Cycle 169: Executing 0x0000 at PC=0x1F4
Cycle 170: Executing 0x0000 at PC=0x1F6
Cycle 171: Executing 0x0000 at PC=0x1F8
Cycle 172: Executing 0x0000 at PC=0x1FA
Cycle 173: Executing 0x0000 at PC=0x1FC
Cycle 174: Executing 0x0000 at PC=0x1FE
Cycle 187: Executing 0x0000 at PC=0x16A
Cycle 188: Executing 0x0000 at PC=0x16C
Cycle 189: Executing 0x0000 at PC=0x16E
Cycle 190: Executing 0x0000 at PC=0x170
Cycle 191: Executing 0x0000 at PC=0x172
Cycle 192: Executing 0x0000 at PC=0x174
Cycle 193: Executing 0x0000 at PC=0x176
Cycle 194: Executing 0x0000 at PC=0x178
Cycle 195: Executing 0x0000 at PC=0x17A
Cycle 196: Executing 0x0000 at PC=0x17C
Cycle 197: Executing 0x0000 at PC=0x17E
Cycle 198: Executing 0x0000 at PC=0x180
Cycle 199: Executing 0x0000 at PC=0x182
Cycle 200: Executing 0x0000 at PC=0x184
Cycle 201: Executing 0x0000 at PC=0x186
Cycle 202: Executing 0x0000 at PC=0x188
Cycle 203: Executing 0x0000 at PC=0x18A
Cycle 204: Executing 0x0000 at PC=0x18C
Cycle 205: Executing 0x0000 at PC=0x18E
Cycle 206: Executing 0x0000 at PC=0x190
Cycle 207: Executing 0x0000 at PC=0x192
Cycle 208: Executing 0x0000 at PC=0x194
Cycle 209: Executing 0x0000 at PC=0x196
Cycle 210: Executing 0x0000 at PC=0x198
Cycle 211: Executing 0x0000 at PC=0x19A
Cycle 212: Executing 0x0000 at PC=0x19C
Cycle 213: Executing 0x0000 at PC=0x19E
Cycle 214: Executing 0x0000 at PC=0x1A0
Cycle 215: Executing 0x0000 at PC=0x1A2
Cycle 216: Executing 0x0000 at PC=0x1A4
Cycle 217: Executing 0x0000 at PC=0x1A6
Cycle 218: Executing 0x0000 at PC=0x1A8
Cycle 219: Executing 0x0000 at PC=0x1AA
Cycle 220: Executing 0x0000 at PC=0x1AC
Cycle 221: Executing 0x0000 at PC=0x1AE
Cycle 222: Executing 0x0000 at PC=0x1B0
Cycle 223: Executing 0x0000 at PC=0x1B2
Cycle 224: Executing 0x0000 at PC=0x1B4
Cycle 225: Executing 0x0000 at PC=0x1B6
Cycle 226: Executing 0x0000 at PC=0x1B8
Cycle 227: Executing 0x0000 at PC=0x1BA
Cycle 228: Executing 0x0000 at PC=0x1BC
Cycle 229: Executing 0x0000 at PC=0x1BE
Cycle 230: Executing 0x0000 at PC=0x1C0
Cycle 231: Executing 0x0000 at PC=0x1C2
Cycle 232: Executing 0x0000 at PC=0x1C4
Cycle 233: Executing 0x0000 at PC=0x1C6
Cycle 234: Executing 0x0000 at PC=0x1C8
Cycle 235: Executing 0x0000 at PC=0x1CA
Cycle 236: Executing 0x0000 at PC=0x1CC
Cycle 237: Executing 0x0000 at PC=0x1CE
Cycle 238: Executing 0x0000 at PC=0x1D0
Cycle 239: Executing 0x0000 at PC=0x1D2
Cycle 240: Executing 0x0000 at PC=0x1D4
Cycle 241: Executing 0x0000 at PC=0x1D6
Cycle 242: Executing 0x0000 at PC=0x1D8
Cycle 243: Executing 0x0000 at PC=0x1DA
Cycle 244: Executing 0x0000 at PC=0x1DC
Cycle 245: Executing 0x0000 at PC=0x1DE
Cycle 246: Executing 0x0000 at PC=0x1E0
Cycle 247: Executing 0x0000 at PC=0x1E2
Cycle 248: Executing 0x0000 at PC=0x1E4
Cycle 249: Executing 0x0000 at PC=0x1E6
Cycle 250: Executing 0x0000 at PC=0x1E8
Cycle 251: Executing 0x0000 at PC=0x1EA
Cycle 252: Executing 0x0000 at PC=0x1EC
Cycle 253: Executing 0x0000 at PC=0x1EE
Cycle 254: Executing 0x0000 at PC=0x1F0
Cycle 255: Executing 0x0000 at PC=0x1F2
Cycle 256: Executing 0x0000 at PC=0x1F4
Cycle 257: Executing 0x0000 at PC=0x1F6
Cycle 258: Executing 0x0000 at PC=0x1F8
Cycle 259: Executing 0x0000 at PC=0x1FA
Cycle 260: Executing 0x0000 at PC=0x1FC
Cycle 261: Executing 0x0000 at PC=0x1FE
Cycle 274: Executing 0x0000 at PC=0x16A
Cycle 275: Executing 0x0000 at PC=0x16C
Cycle 276: Executing 0x0000 at PC=0x16E
Cycle 277: Executing 0x0000 at PC=0x170
Cycle 278: Executing 0x0000 at PC=0x172
Cycle 279: Executing 0x0000 at PC=0x174
Cycle 280: Executing 0x0000 at PC=0x176
Cycle 281: Executing 0x0000 at PC=0x178
Cycle 282: Executing 0x0000 at PC=0x17A
Cycle 283: Executing 0x0000 at PC=0x17C
Cycle 284: Executing 0x0000 at PC=0x17E
Cycle 285: Executing 0x0000 at PC=0x180
Cycle 286: Executing 0x0000 at PC=0x182
Cycle 287: Executing 0x0000 at PC=0x184
Cycle 288: Executing 0x0000 at PC=0x186
Cycle 289: Executing 0x0000 at PC=0x188
Cycle 290: Executing 0x0000 at PC=0x18A
Cycle 291: Executing 0x0000 at PC=0x18C
Cycle 292: Executing 0x0000 at PC=0x18E
Cycle 293: Executing 0x0000 at PC=0x190
Cycle 294: Executing 0x0000 at PC=0x192
Cycle 295: Executing 0x0000 at PC=0x194
Cycle 296: Executing 0x0000 at PC=0x196
Cycle 297: Executing 0x0000 at PC=0x198
Cycle 298: Executing 0x0000 at PC=0x19A
Cycle 299: Executing 0x0000 at PC=0x19C
Cycle 300: Executing 0x0000 at PC=0x19E
Cycle 301: Executing 0x0000 at PC=0x1A0
Cycle 302: Executing 0x0000 at PC=0x1A2
Cycle 303: Executing 0x0000 at PC=0x1A4
Cycle 304: Executing 0x0000 at PC=0x1A6
Cycle 305: Executing 0x0000 at PC=0x1A8
Cycle 306: Executing 0x0000 at PC=0x1AA
Cycle 307: Executing 0x0000 at PC=0x1AC
Cycle 308: Executing 0x0000 at PC=0x1AE
Cycle 309: Executing 0x0000 at PC=0x1B0
Cycle 310: Executing 0x0000 at PC=0x1B2
Cycle 311: Executing 0x0000 at PC=0x1B4
Cycle 312: Executing 0x0000 at PC=0x1B6
Cycle 313: Executing 0x0000 at PC=0x1B8
Cycle 314: Executing 0x0000 at PC=0x1BA
Cycle 315: Executing 0x0000 at PC=0x1BC
Cycle 316: Executing 0x0000 at PC=0x1BE
Cycle 317: Executing 0x0000 at PC=0x1C0
